dataset,subset,model,metric,estimate
nested_development,"similarity_stratum:(0.5,0.6]",fine_tuned_nesso,mae,0.7038133693742163
nested_development,"similarity_stratum:(0.5,0.6]",fine_tuned_nesso,rmse,0.9365688581142241
nested_development,"similarity_stratum:(0.5,0.6]",fine_tuned_nesso,rae,0.6510241517370675
nested_development,"similarity_stratum:(0.5,0.6]",fine_tuned_nesso,pearson,0.6865739362036861
nested_development,"similarity_stratum:(0.5,0.6]",fine_tuned_nesso,spearman,0.6830044369893947
nested_development,"similarity_stratum:(0.5,0.6]",fine_tuned_nesso,bias,0.2356257017159168
nested_development,"similarity_stratum:(0.5,0.6]",fine_tuned_nesso,calibration_intercept,-0.8441085728540084
nested_development,"similarity_stratum:(0.5,0.6]",fine_tuned_nesso,calibration_slope,1.1433324555640405
nested_development,"similarity_stratum:(0.5,0.6]",nested_2d_lightgbm,n,270.0
nested_development,"similarity_stratum:(0.5,0.6]",nested_2d_lightgbm,mae,0.5653226763702991
nested_development,"similarity_stratum:(0.5,0.6]",nested_2d_lightgbm,rmse,0.7648352921380442
nested_development,"similarity_stratum:(0.5,0.6]",nested_2d_lightgbm,rae,0.5229208933171275
nested_development,"similarity_stratum:(0.5,0.6]",nested_2d_lightgbm,pearson,0.7884663099888931
nested_development,"similarity_stratum:(0.5,0.6]",nested_2d_lightgbm,spearman,0.792104473440284
nested_development,"similarity_stratum:(0.5,0.6]",nested_2d_lightgbm,bias,0.07084097737506409
nested_development,"similarity_stratum:(0.5,0.6]",nested_2d_lightgbm,calibration_intercept,-0.04212788656002918
nested_development,"similarity_stratum:(0.5,0.6]",nested_2d_lightgbm,calibration_slope,0.9929632893897719
nested_development,similarity_stratum:<=0.3,mean,n,534.0
nested_development,similarity_stratum:<=0.3,mean,mae,0.8826727081905492
nested_development,similarity_stratum:<=0.3,mean,rmse,1.097505455669452
nested_development,similarity_stratum:<=0.3,mean,rae,1.037132814277245
nested_development,similarity_stratum:<=0.3,mean,pearson,-0.10757433806314635
nested_development,similarity_stratum:<=0.3,mean,spearman,-0.08928032397543931
nested_development,similarity_stratum:<=0.3,mean,bias,-0.10102983582187193
nested_development,similarity_stratum:<=0.3,mean,calibration_intercept,21.983639618537342
nested_development,similarity_stratum:<=0.3,mean,calibration_slope,-4.091872734655541
nested_development,similarity_stratum:<=0.3,frozen_nesso,n,534.0
nested_development,similarity_stratum:<=0.3,frozen_nesso,mae,0.9187222853932584
nested_development,similarity_stratum:<=0.3,frozen_nesso,rmse,1.2954157192182036
nested_development,similarity_stratum:<=0.3,frozen_nesso,rae,1.079490756367009
nested_development,similarity_stratum:<=0.3,frozen_nesso,pearson,0.23099296403771313
nested_development,similarity_stratum:<=0.3,frozen_nesso,spearman,0.24259493527700393
nested_development,similarity_stratum:<=0.3,frozen_nesso,bias,0.7308946790262173
nested_development,similarity_stratum:<=0.3,frozen_nesso,calibration_intercept,1.127540863736503
nested_development,similarity_stratum:<=0.3,frozen_nesso,calibration_slope,0.6376951961632995
nested_development,similarity_stratum:<=0.3,affine_frozen_nesso,n,534.0
