split,isoform,recipe,subgroup,fold,n,mae,bias,spearman,pred_sd,y_sd
butina,CYP1A2,interaction,all,1,272,0.6805676905644948,0.018830441339029683,0.2338182221511937,0.304255244686522,0.9514788101191638
butina,CYP1A2,interaction,all,2,300,0.7488905043139078,0.11115084630688349,0.2620215780175335,0.2913173254823106,1.0535796022197335
butina,CYP1A2,interaction,all,3,285,0.7239024093745844,-0.05480405755616497,0.3217057960571674,0.26360132851927737,1.0360617096249403
butina,CYP1A2,interaction,all,4,280,0.7449101088074773,-0.044158700796772116,0.10813585450251734,0.3057255862916264,1.0114325093649605
butina,CYP1A2,interaction,MW<215,pooled,22,0.5152216037258442,0.014966416900010144,0.13833992094861663,0.16199946286423975,0.650216347891422
butina,CYP1A2,interaction,MW<215,0,6,0.5199845070042038,-0.1042737190796541,-0.08571428571428573,0.1284318644167597,0.5290750915710384
butina,CYP1A2,interaction,MW<215,1,8,0.4075295603586607,0.03385295676067901,-0.11904761904761905,0.12611926326196482,0.5247635148757049
butina,CYP1A2,interaction,MW<215,2,1,0.661833837108345,-0.661833837108345,,0.0,0.0
butina,CYP1A2,interaction,MW<215,3,4,0.4358147238840653,-0.2796098384310408,0.0,0.16590391739671556,0.4606973310317941
butina,CYP1A2,interaction,MW<215,4,3,0.8498796748098202,0.8214510076750746,0.5,0.15250303794384198,0.7639480142616965
butina,CYP1A2,interaction,MW>=215,pooled,1390,0.7377978228123985,0.0009713738420273388,0.2587465316776799,0.2891154367078592,1.034420348233726
butina,CYP1A2,interaction,MW>=215,0,269,0.7772690025413088,-0.03040307874714409,0.37429704020171756,0.2731064277760114,1.0902329659053187
butina,CYP1A2,interaction,MW>=215,1,264,0.6888415732980049,0.018375213598979694,0.2229878235689269,0.3032829451556171,0.9600867156088162
butina,CYP1A2,interaction,MW>=215,2,299,0.749181663736,0.11373607936178393,0.2631267536082243,0.29179752850252255,1.05447077053481
butina,CYP1A2,interaction,MW>=215,3,281,0.728003301694734,-0.051603975266131155,0.3160380317796838,0.2616356010493334,1.0397799219405977
butina,CYP1A2,interaction,MW>=215,4,277,0.7437732543020369,-0.05353353518455385,0.11490578373904235,0.30556423700655594,1.0119296096113286
butina,CYP1A2,median,all,pooled,1412,0.7325498473746459,0.17855906311827185,-0.05488002586301682,0.014153950292463788,1.0301112449331375
butina,CYP1A2,median,all,0,275,0.7937297532181818,0.1406256955309093,,0.0,1.0821370438132905
butina,CYP1A2,median,all,1,272,0.6667255675808823,0.1331267943823521,,8.881784197001252e-16,0.9514788101191638
butina,CYP1A2,median,all,2,300,0.7725343899133332,0.3117240743533332,,8.881784197001252e-16,1.0535796022197335
butina,CYP1A2,median,all,3,285,0.7395450645824562,0.12201417096140374,,0.0,1.0360617096249403
butina,CYP1A2,median,all,4,280,0.6864453128428571,0.1748270776785715,,8.881784197001252e-16,1.0114325093649605
butina,CYP1A2,median,MW<215,pooled,22,0.5410478106363636,-0.10079743854545474,-0.30589437714493134,0.008023818631657336,0.650216347891422
butina,CYP1A2,median,MW<215,0,6,0.49623161116666664,-0.17617480349999992,,0.0,0.5290750915710384
butina,CYP1A2,median,MW<215,1,8,0.4445970463750003,-0.1573509223750008,,0.0,0.5247635148757049
butina,CYP1A2,median,MW<215,2,1,0.42752727800000034,-0.42752727800000034,,0.0,0.0
butina,CYP1A2,median,MW<215,3,4,0.5704662747499998,-0.43877648924999946,,0.0,0.4606973310317941
butina,CYP1A2,median,MW<215,4,3,0.8864978063333333,0.7603152623333332,,0.0,0.7639480142616965
butina,CYP1A2,median,MW>=215,pooled,1390,0.73558081486259,0.1829805329287769,-0.051333954866418466,0.014213547068455514,1.034420348233726
butina,CYP1A2,median,MW>=215,0,269,0.8003653995092938,0.1476918776654277,,8.881784197001252e-16,1.0902329659053187
butina,CYP1A2,median,MW>=215,1,264,0.6734567348901515,0.14192914943560522,,1.7763568394002505e-15,0.9600867156088162
butina,CYP1A2,median,MW>=215,2,299,0.7736882598528428,0.31419648690300994,,1.7763568394002505e-15,1.05447077053481
butina,CYP1A2,median,MW>=215,3,281,0.7419518800960854,0.12999695616014256,,0.0,1.0397799219405977
