outer_fold,candidate,learning_rate,weight_decay,batch_size,max_epochs,patience,min_delta,huber_delta,ensemble_loss_weight,member_loss_weight,gradient_clip_norm,uncertainty_floor,uncertainty_cap_quantile,use_curation_weight,seed,inner_n,inner_mae,inner_rmse,inner_rae,inner_pearson,inner_spearman,inner_bias,inner_calibration_intercept,inner_calibration_slope,inner_best_epochs
0,e2_lr0.0003_wd0.0001,0.0003,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6335264799349776,0.867272500560029,0.6835438806888005,0.653297249015103,0.6249404837460542,0.12227222351715943,-0.334731505816982,1.0481557740743972,26;30;29;28
0,e2_lr0.0003_wd0.001,0.0003,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6329317759291034,0.8662910928564388,0.6829022243462305,0.6539283325140709,0.6255254652174999,0.11979276646409079,-0.3278682794329446,1.0471886736142657,26;30;29;28
0,e2_lr0.001_wd0,0.001,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6383925757577485,0.870133139483709,0.6887941585032998,0.6483783190581387,0.6162615935347915,0.10928040181810611,-0.2979725229791924,1.0428950504812886,8;13;21;19
0,e2_lr0.001_wd0.0001,0.001,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6379391325727802,0.8703090689215727,0.6883049156316254,0.648614727578738,0.6166445449436929,0.11240767593027275,-0.301877575594474,1.0430412627122827,8;13;21;19
0,e2_lr0.001_wd0.001,0.001,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6355235516307509,0.8686350031805772,0.6856986227243391,0.6533489693429384,0.6216144851833335,0.12589866048153314,-0.4597734616081023,1.075613522908793,23;13;21;10
0,e2_lr0.003_wd0,0.003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6305177447274466,0.8606681401824875,0.6802976035325058,0.6597806391896617,0.6291729398826653,0.12038744915757224,-0.32839767482100946,1.0471675060611947,12;13;11;25
0,e2_lr0.003_wd0.0001,0.003,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6390841030263456,0.8613992932805488,0.6895402823793333,0.6540915364630078,0.620960872725304,0.06824221742933041,-0.3922363809465652,1.0743466174718432,12;13;12;5
0,e2_lr0.003_wd0.001,0.003,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.637902838352239,0.870138535351824,0.688265755954578,0.6496038840952333,0.6216849804780725,0.11295573651679208,-0.4088113020958133,1.0672001829613285,12;13;11;6
0,e2_lr0.01_wd0,0.01,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6323287665073003,0.8570408167762437,0.6822516068687834,0.6600931982400728,0.6255332942142546,0.08811848683223546,-0.3782437930496608,1.066272496534046,12;9;20;9
0,e2_lr0.01_wd0.0001,0.01,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6423882961166238,0.8822565578764409,0.6931053440444839,0.6405173962514437,0.6065030131372502,0.1437877067494615,-0.2718196485930002,1.0288787389728602,5;10;10;9
0,e2_lr0.01_wd0.001,0.01,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6368487381944032,0.8699251139420814,0.6871284337820373,0.6519504787889766,0.6210855809667644,0.1297053035664781,-0.3855649277377297,1.0578953046742938,14;8;7;7
0,e2_lr0.03_wd0,0.03,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6368237334812912,0.8709267553500158,0.687101454927676,0.6536206223354302,0.6198555878719479,0.14072597626659358,-0.5069513929667714,1.0826624745986821,8;10;15;7
0,e2_lr0.03_wd0.0001,0.03,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6420822045228192,0.8776888903917927,0.6927750862849393,0.6403116777940592,0.6074312051195992,0.11214266133531231,-0.18425271209546135,1.0163819926367863,8;8;11;9
0,e2_lr0.03_wd0.001,0.03,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6331757195410327,0.8595167066790995,0.6831654274931368,0.6545477308614831,0.6190577595293217,0.06938584263525276,-0.07303223512006395,1.0008365145220848,11;10;20;9
0,e2_lr0.1_wd0,0.1,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7500700067609269,1.0110528243347274,0.8092886082082328,0.4884458558961238,0.4692890861094127,0.1921070618317506,-1.028406666628378,1.1866010478531137,8;9;7;3
