scope,budget,fold,feature,target,method,adjustment,actual_covariates,n,nuisance_rank,correlation
native_unique,unique,pooled,PC2,prepared_formal_charge,spearman,fold_potency_charge,fold;y_true,3344,6,-0.19946762222892606
native_unique,unique,pooled,PC2,prepared_formal_charge,spearman,fold_potency_charge_MW,fold;y_true;MW,3344,7,-0.20610147590003305
native_unique,unique,pooled,PC2,prepared_is_charged,pearson,none,,3344,1,-0.12067925762573123
native_unique,unique,pooled,PC2,prepared_is_charged,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,
native_unique,unique,pooled,PC2,prepared_is_charged,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,
native_unique,unique,pooled,PC2,prepared_is_charged,spearman,none,,3344,1,-0.24030667433815123
native_unique,unique,pooled,PC2,prepared_is_charged,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.00026844167481497654
native_unique,unique,pooled,PC2,prepared_is_charged,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-3.2060041182861444e-05
native_unique,unique,pooled,PC2,y_true,pearson,none,,3344,1,0.13540536034812956
native_unique,unique,pooled,PC2,y_true,pearson,fold_potency_charge,fold;prepared_formal_charge,3344,10,0.11903776702294726
native_unique,unique,pooled,PC2,y_true,pearson,fold_potency_charge_MW,fold;prepared_formal_charge;MW,3344,11,0.12607850045855112
native_unique,unique,pooled,PC2,y_true,spearman,none,,3344,1,0.290282451632351
native_unique,unique,pooled,PC2,y_true,spearman,fold_potency_charge,fold;prepared_formal_charge,3344,10,0.25811792928049654
native_unique,unique,pooled,PC2,y_true,spearman,fold_potency_charge_MW,fold;prepared_formal_charge;MW,3344,11,0.23656362590581026
native_unique,unique,pooled,PC2,native_cached,pearson,none,,3344,1,0.42845672508203675
native_unique,unique,pooled,PC2,native_cached,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,0.4046844222543254
native_unique,unique,pooled,PC2,native_cached,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,0.4528158268415525
native_unique,unique,pooled,PC2,native_cached,spearman,none,,3344,1,0.6404488734124684
native_unique,unique,pooled,PC2,native_cached,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,0.5921530194228618
native_unique,unique,pooled,PC2,native_cached,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,0.6033212221239779
native_unique,unique,pooled,PC3,MW,pearson,none,,3344,1,-0.11238205969217505
native_unique,unique,pooled,PC3,MW,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.02296110368811488
native_unique,unique,pooled,PC3,MW,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge,3344,11,-0.02296110368811488
native_unique,unique,pooled,PC3,MW,spearman,none,,3344,1,-0.14108930397319197
native_unique,unique,pooled,PC3,MW,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.07814310560687117
