lane,split,n_train,method,stratum,prediction_rows,unique_compounds,chemical_groups,effective_n_identity,effective_n_cluster,sparse,weighted_mae,mae,bias,weighted_bias,weight_sum,weight_share
original,chemical_cluster,25,repr_mlp,"novelty_[0.35,0.5)",169,151,101,106.42294148260436,64.71945161864315,False,1.942822176735087,2.1624825234408442,-0.6046590402822287,-0.6325724664374992,848.898610541864,0.003824610741880699
original,chemical_cluster,25,repr_mlp,"novelty_[0.5,0.7)",14,14,10,10.030128153228299,6.812809943228162,True,1.4455869023489296,1.7734486495597024,0.6902978327444622,-0.15704902317546432,47.997712727912855,0.00021624793044213196
original,chemical_cluster,25,repr_mlp,"novelty_[0.7,1]",0,0,0,0.0,0.0,True,,,,,0.0,0.0
original,chemical_cluster,25,repr_ridge,all,33440,3344,1975,2782.343188564992,1012.5588141842961,False,0.6915150065140494,0.8869576517589779,0.27767879173281396,-0.09285202882779106,221956.86511208978,1.0
original,chemical_cluster,25,repr_ridge,potency_lt4,10360,1036,617,818.9342623395673,280.80404787274347,False,1.4852650303168327,1.7454246947576488,1.5272774023295457,1.3122666752952385,36299.730764192434,0.16354407756597578
original,chemical_cluster,25,repr_ridge,potency_ge4,23080,2308,1559,2141.272332721013,927.6002729621608,False,0.5363207972566731,0.5016145596677201,-0.2832328896268976,-0.3675812000527407,185657.13434789734,0.8364559224340242
original,chemical_cluster,25,repr_ridge,potency_ge6_descriptive_tail,560,56,52,55.943540642841484,47.38653300749192,False,1.560133756209736,1.5613963872979923,-1.5440082315992611,-1.5426393154146751,5565.977961432507,0.025076845262802072
original,chemical_cluster,25,repr_ridge,"novelty_[0,0.2)",14921,3044,1910,1952.5913227486642,1086.339125008473,False,0.739544930561381,0.9783765373134782,0.3202972291793637,-0.07636278039880691,96494.26048290667,0.4347433021915154
original,chemical_cluster,25,repr_ridge,"novelty_[0.2,0.35)",18336,3174,1842,2181.1889450760864,689.2455105274486,False,0.6529099937998859,0.8092336334814685,0.23646725870060373,-0.10863151249874028,124565.70830591333,0.5612158391361617
original,chemical_cluster,25,repr_ridge,"novelty_[0.35,0.5)",169,151,101,106.42294148260436,64.71945161864315,False,0.8850822984082914,1.2216793269758663,0.9155509459125397,0.3036722365334966,848.898610541864,0.003824610741880699
original,chemical_cluster,25,repr_ridge,"novelty_[0.5,0.7)",14,14,10,10.030128153228299,6.812809943228162,True,0.8983945680889698,1.2097036993346941,1.13086239760868,0.6958486620339661,47.997712727912855,0.00021624793044213196
original,chemical_cluster,25,repr_ridge,"novelty_[0.7,1]",0,0,0,0.0,0.0,True,,,,,0.0,0.0
original,chemical_cluster,50,head_pretrained,all,33440,3344,1975,2782.343188564992,1012.5588141842961,False,0.6140435525860669,0.8197454823049745,0.4364852164945231,0.08904594351572069,221956.86511208978,1.0
original,chemical_cluster,50,head_pretrained,potency_lt4,10360,1036,617,818.9342623395673,280.80404787274347,False,1.4129404977443896,1.642014223854821,1.5993264805534173,1.3752233791283688,36299.730764192434,0.16354407756597578
